Rank,county,pop2019
1,Jefferson,659892
2,Mobile,414659
3,Madison,357560
4,Montgomery,226941
5,Shelby,211261
6,Baldwin,208107
7,Tuscaloosa,206213
8,Lee,159287
9,Morgan,119122
10,Calhoun,115098
11,Houston,104352
12,Etowah,102939
13,Marshall,95145
14,Limestone,93052
15,Lauderdale,92585
16,St. Clair,87306
17,Cullman,82313
18,Elmore,81212
19,Talladega,80565
20,DeKalb,71200
21,Walker,64493
22,Russell,58213
23,Blount,57645
24,Autauga,55200
25,Colbert,54495
26,Jackson,52094
27,Coffee,51288
28,Dale,49255
29,Chilton,43930
30,Tallapoosa,40636
31,Dallas,40029
32,Covington,37351
33,Escambia,37328
34,Chambers,33826
35,Pike,33403
36,Lawrence,33171
37,Franklin,31542
38,Marion,29965
39,Geneva,26491
40,Cherokee,25853
41,Barbour,25782
42,Clarke,24387
43,Winston,23875
44,Randolph,22574
45,Bibb,22527
46,Monroe,21512
47,Pickens,20298
48,Butler,20025
49,Marengo,19538
50,Macon,19054
51,Henry,17124
52,Washington,16643
53,Fayette,16585
54,Cleburne,14938
55,Hale,14887
56,Lamar,13933
57,Crenshaw,13865
58,Clay,13378
59,Choctaw,13075
60,Sumter,12985
61,Conecuh,12514
62,Coosa,10855
63,Wilcox,10809
64,Bullock,10352
65,Lowndes,10236
66,Perry,9486
67,Greene,8426